Time (ns),Total E x (V/m),Total E y (V/m),Total E z (V/m)
0,0,0,0
0.00100000639,0,0,0
0.00200001279,0,0,0
0.00300001907,0,0,0
0.00400002557,0,0,0
0.00500003164,0,0,0
0.00600003814,0,0,0
0.00700004464,0,0,0
0.00800005114,0,0,0
0.00900005678,0,0,0
0.0100000633,0,0,0
0.0110000698,0,0,0
0.0120000763,0,0,0
0.0130000828,0,0,0
0.0140000893,0,0,0
0.0150000949,0,0,0
0.0160001023,0,0,0
0.0170001079,0,0,0
0.0180001136,0,0,0
0.0190001209,0,0,0
0.0200001266,0,0,0
0.0210001339,0,0,0
0.0220001396,0,0,0
0.0230001469,0,0,0
0.0240001526,0,0,0
0.0250001582,0,0,0
0.0260001656,0,0,0
0.0270001712,0,0,0
0.0280001786,0,0,0
0.0290001842,0,0,0
0.0300001898,0,0,0
0.0310001955,0,0,0
0.0320002046,0,0,0
0.0330002102,0,0,0
0.0340002158,0,0,0
0.0350002215,0,0,0
0.0360002271,0,0,0
0.0370002362,0,0,0
0.0380002418,0,0,0
0.0390002475,0,0,0
0.0400002531,0,0,0
0.0410002622,0,0,0
0.0420002678,0,0,0
0.0430002735,0,0,0
0.0440002791,0,0,0
0.0450002847,0,0,0
0.0460002939,0,0,0
0.0470002995,0,0,0
0.0480003051,0,0,0
0.0490003108,0,0,0
0.0500003164,0,0,0
0.0510003255,0,0,0
0.0520003311,0,0,0
0.0530003368,0,0,0
0.0540003424,0,0,0
0.055000348,0,0,0
0.0560003571,0,0,0
0.0570003628,0,0,0
0.0580003684,0,0,0
0.059000374,0,0,0
0.0600003797,0,0,0
0.0610003853,0,0,0
0.0620003909,0,0,0
0.0630004035,0,0,0
0.0640004091,0,0,0
0.0650004148,0,0,0
0.0660004204,0,0,0
0.067000426,0,0,0
0.0680004317,0,0,0
0.0690004373,0,0,0
0.0700004429,0,0,0
0.0710004486,0,0,0
0.0720004542,0,0,0
0.0730004668,0,0,0
0.0740004724,0,0,0
0.0750004781,0,0,0
0.0760004837,0,0,0
0.0770004893,0,0,0
0.078000495,0,0,0
0.0790005006,0,0,0
0.0800005062,0,0,0
0.0810005119,0,0,0
0.0820005244,0,0,0
