Time (ns),Total E x (V/m),Total E y (V/m),Total E z (V/m)
0,0,0,0
0.00100000639,0,0,0
0.00200001279,0,0,0
0.00300001907,0,0,0
0.00400002557,0,0,0
0.00500003164,0,0,0
0.00600003814,0,0,0
0.00700004464,0,0,0
0.00800005114,0,0,0
0.00900005678,0,0,0
0.0100000633,0,0,0
0.0110000698,0,0,0
0.0120000763,0,0,0
0.0130000828,0,0,0
0.0140000893,0,0,0
0.0150000949,0,0,0
0.0160001023,0,0,0
0.0170001079,0,0,0
0.0180001136,0,0,0
0.0190001209,0,0,0
0.0200001266,0,0,0
0.0210001339,0,0,0
0.0220001396,0,0,0
0.0230001469,0,0,0
0.0240001526,0,0,0
0.0250001582,0,0,0
0.0260001656,0,0,0
0.0270001712,0,0,0
0.0280001786,0,0,0
0.0290001842,0,0,0
0.0300001898,0,0,0
0.0310001955,0,0,0
0.0320002046,0,0,0
0.0330002102,0,0,0
0.0340002158,0,0,0
0.0350002215,0,0,0
0.0360002271,0,0,0
0.0370002362,0,0,0
0.0380002418,0,0,0
0.0390002475,0,0,0
0.0400002531,0,0,0
0.0410002622,0,0,0
0.0420002678,0,0,0
0.0430002735,0,0,0
0.0440002791,0,0,0
0.0450002847,0,0,0
0.0460002939,0,0,0
0.0470002995,0,0,0
0.0480003051,0,0,0
0.0490003108,0,0,0
0.0500003164,0,0,0
0.0510003255,0,1.41220369e-09,-1.41220369e-09
0.0520003311,0,4.35689218e-09,-4.35689218e-09
0.0530003368,0,8.82097329e-09,-8.82097329e-09
0.0540003424,0,1.47405315e-08,-1.47405315e-08
0.055000348,0,2.21713652e-08,-2.21713652e-08
0.0560003571,0,3.11314459e-08,-3.11314459e-08
0.0570003628,0,4.16109174e-08,-4.16109174e-08
0.0580003684,0,5.35823084e-08,-5.35823084e-08
0.059000374,0,6.70118538e-08,-6.70118538e-08
0.0600003797,0,8.18671779e-08,-8.18671779e-08
0.0610003853,0,9.81240831e-08,-9.8124076e-08
0.0620003909,0,1.15767946e-07,-1.15767925e-07
0.0630004035,0,1.34793652e-07,-1.34793581e-07
0.0640004091,0,1.5520078e-07,-1.55200581e-07
0.0650004148,0,1.76989545e-07,-1.76988991e-07
