Time (ns),Total E x (V/m),Total E y (V/m),Total E z (V/m)
0,0,0,0
0.00100003708,0,0,0
0.00200007415,0,0,0
0.00300011123,0,0,0
0.0040001483,0,0,0
0.00500018516,0,0,0
0.00600022245,0,0,0
0.00700025931,0,0,0
0.00800029661,0,0,0
0.00900033346,0,0,0
0.0100003703,0,0,0
0.0110004072,0,0,0
0.0120004449,0,0,0
0.0130004818,0,0,0
0.0140005186,0,0,0
0.0150005564,0,0,0
0.0160005932,0,0,0
0.0170006301,0,0,0
0.0180006669,0,0,0
0.0190007038,0,0,0
0.0200007406,0,0,0
0.0210007775,0,0,0
0.0220008144,0,0,0
0.0230008512,0,0,0
0.0240008898,0,0,0
0.0250009267,0,0,0
0.0260009635,0,0,0
0.0270010004,0,0,0
0.0280010373,0,0,0
0.0290010741,0,0,0
0.0300011127,0,0,0
0.0310011496,0,0,0
0.0320011864,0,0,0
0.0330012233,0,0,0
0.0340012601,0,0,0
0.035001297,0,0,0
0.0360013339,0,0,0
0.0370013707,0,0,0
0.0380014076,0,0,0
0.0390014444,0,0,0
0.0400014813,0,0,0
0.0410015182,0,0,0
0.042001555,0,0,0
0.0430015919,0,0,0
0.0440016287,0,0,0
0.0450016656,0,0,0
0.0460017024,0,0,0
0.0470017428,0,0,0
0.0480017796,0,0,0
0.0490018165,0,0,0
0.0500018534,0,0,0
0.0510018902,0,8.82732498e-10,-8.82732498e-10
0.0520019271,0,2.86035018e-09,-2.86035018e-09
0.0530019639,0,5.88298565e-09,-5.88298565e-09
0.0540020008,0,9.8518731e-09,-9.8518731e-09
0.0550020376,0,1.4792942e-08,-1.4792942e-08
0.0560020745,0,2.0696282e-08,-2.0696282e-08
0.0570021114,0,2.75160907e-08,-2.75160907e-08
0.0580021482,0,3.51722278e-08,-3.51722278e-08
0.0590021851,0,4.35554917e-08,-4.35554917e-08
0.0600022254,0,5.25326627e-08,-5.25326627e-08
0.0610022588,0,6.1954978e-08,-6.1954978e-08
0.0620022991,0,7.16655109e-08,-7.16655109e-08
0.0630023325,0,8.15080412e-08,-8.15080412e-08
0.0640023728,0,9.13339306e-08,-9.13339306e-08
0.0650024062,0,1.01009782e-07,-1.01009782e-07
0.0660024466,0,1.104221e-07,-1.104221e-07
0.06700248,0,1.19481044e-07,-1.19481044e-07
0.0680025203,0,1.2812184e-07,-1.2812184e-07
0.0690025537,0,1.3630401e-07,-1.3630401e-07
0.070002594,0,1.44009562e-07,-1.44009562e-07
0.0710026274,0,1.5123824e-07,-1.5123824e-07
0.0720026677,0,1.58003004e-07,-1.58003004e-07
0.0730027011,0,1.64323424e-07,-1.64323424e-07
0.0740027414,0,1.70220162e-07,-1.70220162e-07
0.0750027818,0,1.75708294e-07,-1.75708294e-07
0.0760028152,0,1.80792924e-07,-1.80792924e-07
0.0770028555,0,1.85464785e-07,-1.85464785e-07
0.0780028889,0,1.89698028e-07,-1.89698028e-07
0.0790029292,0,1.93449395e-07,-1.93449395e-07
0.0800029626,0,1.96658789e-07,-1.96658789e-07
